date,account_value,reward,daily_return,daily_volatility,fear_greed,fear_greed_norm,fear_greed_mapped,window
2025-04-10,956069.3197806964,,,0.0,39.0,-0.22,-1.0,8
2025-04-11,983645.3969551816,,,0.0,25.0,-0.5,-1.0,8
2025-04-12,1050421.3298662365,,,0.0,43.0,-0.14,-1.0,8
2025-04-13,1030870.0370546969,,,0.0,45.0,-0.1,-1.0,8
2025-04-14,1034712.2065375616,,,0.0,31.0,-0.38,-1.0,8
2025-04-15,1013653.2269669231,,,0.0,38.0,-0.24,-1.0,8
2025-04-16,1013264.1465129621,,,0.0,29.0,-0.42,-1.0,8
2025-04-17,1005433.902376997,,,0.0,30.0,-0.4,-1.0,8
2025-04-18,1002807.6093127604,,,0.0,33.0,-0.34,-1.0,8
2025-04-19,1015355.4539530023,,,0.0,32.0,-0.36,-1.0,8
2025-04-20,1010978.2988459412,,,0.0,37.0,-0.26,-1.0,8
2025-04-21,1014285.4827046097,,,0.0,39.0,-0.22,-1.0,8
2025-04-22,1076732.8955653487,,,0.0,47.0,-0.06,-1.0,8
2025-04-23,1078921.4731188794,,,0.0,72.0,0.44,1.0,8
2025-04-24,1072355.7404582873,,,0.0,63.0,0.26,1.0,8
2025-04-25,1060829.232009693,,,0.0,60.0,0.2,1.0,8
2025-04-26,1065692.7376842056,,,0.0,65.0,0.3,1.0,8
2025-04-27,1095262.852185241,,,0.0,61.0,0.22,1.0,8
2025-04-28,1116127.2915288992,,,0.0,54.0,0.08,1.0,8
2025-04-29,1088453.9442409235,,,0.0,60.0,0.2,1.0,8
2025-04-30,1065498.197457225,,,0.0,56.0,0.12,1.0,8
2025-05-01,1075954.7346574268,,,0.0,53.0,0.06,1.0,8
2025-05-02,1074495.6829550727,,,0.0,67.0,0.34,1.0,8
