date,account_value,daily_volatility,volatility,turbulence,window
2022-06-09,651909.63144,13717.6559321003,0.255232804605079,0.00066834224424989,5
2022-06-10,644041.63144,13266.4943584765,0.203696022974398,0.0450334561652204,5
2022-06-11,606949.63144,12984.8516521547,0.212400935231804,0.0415889483538636,5
2022-06-12,573004.83144,12138.6650143278,0.202848360313254,0.0172611954597096,5
2022-06-13,501518.43144,10270.8519746611,0.235268684302868,0.0942665059086089,5
2022-06-14,501518.43144,10105.7201152955,0.226679299967945,0.00640243849637259,5
2022-06-15,525347.23144,10307.4728760836,0.230358650634812,0.00878154595543701,5
2022-06-16,472744.03144,9322.46476956604,0.245369971125532,0.0364668699255909,5
2022-06-17,485338.41042,9348.79780540198,0.24276085169994,0.00601068554679997,5
2022-06-18,443057.21042,8668.05472792419,0.241860744082671,0.0131311545840866,5
2022-06-19,483764.11042,9389.38802345972,0.264558993926009,0.0595090389980923,5
2022-06-20,486912.71042,9389.04740974645,0.261157290503998,0.000487548940719576,5
2022-06-21,495009.11042,9459.14774283955,0.26043148714438,0.00317760262058819,5
2022-06-22,482189.81042,9130.73974885691,0.260807680093048,0.0146991291191547,5
2022-06-23,514800.31042,9634.90234658118,0.269050377737281,0.0221102321768626,5
2022-06-24,540214.01042,9674.5451645106,0.275912538793765,0.0531347669212236,5
2022-06-25,539089.51042,9790.28016092491,0.268448469416702,0.00466033073327626,5
2022-06-26,526045.31042,9588.0671427179,0.269028346265961,0.00124258300578128,5
2022-06-27,525820.41042,9450.06065003582,0.267661329422912,0.00216663966199204,5
2022-06-28,510302.31042,9245.14092923172,0.268537733519907,0.00199277404087253,5
2022-06-29,494109.51042,9182.01119736121,0.261614415732098,0.00832767888789487,5
2022-06-30,493884.61042,9103.28654717746,0.261708885657893,0.00422070824042343,5
2022-07-01,487812.31042,8794.41407070925,0.255858723866653,0.0110350221436387,5
2022-07-02,490960.91042,8779.7507003597,0.253657612901005,0.00138831328427317,5
2022-06-03,1000000,0,0,0,6
2022-06-04,1016486.040744,13595.5415181987,0.319836932847613,0.00457324815722604,6
2022-06-05,1017414.990744,13621.722854525,0.31973569931886,0.00209469084933435,6
2022-06-06,1047597.420744,14295.7764201536,0.318318911417777,0.0570713853554279,6
2022-06-07,1021412.290744,14190.4194577491,0.31778192330407,0.00330021297077448,6
2022-06-08,1009335.940744,13762.0076066498,0.26778133018924,0.0140624254405569,6
2022-06-09,1007607.530744,13717.6559321003,0.255232804605079,0.00066834224424989,6
2022-06-10,936725.830744,13266.4943584765,0.203696022974398,0.0450334561652204,6
2022-06-11,863524.570744,12984.8516521547,0.212400935231804,0.0415889483538636,6
2022-06-12,808322.420744,12138.6650143278,0.202848360313254,0.0172611954597096,6
2022-06-13,681636.160744,10270.8519746611,0.235268684302868,0.0942665059086089,6
2022-06-14,681118.200744,10105.7201152955,0.226679299967945,0.00640243849637259,6
2022-06-15,697231.260744,10307.4728760836,0.230358650634812,0.00878154595543701,6
2022-06-16,602073.000744,9322.46476956604,0.245369971125532,0.0364668699255909,6
2022-06-17,612454.720744,9348.79780540198,0.24276085169994,0.00601068554679997,6
2022-06-18,560765.690744,8668.05472792419,0.241860744082671,0.0131311545840866,6
2022-06-19,635869.890744,9389.38802345972,0.264558993926009,0.0595090389980923,6
2022-06-20,635706.620744,9389.04740974645,0.261157290503998,0.000487548940719576,6
2022-06-21,634361.050744,9459.14774283955,0.26043148714438,0.00317760262058819,6
2022-06-22,591764.470744,9130.73974885691,0.260807680093048,0.0146991291191547,6
2022-06-23,644984.860744,9634.90234658118,0.269050377737281,0.0221102321768626,6
2022-06-24,690193.760744,9674.5451645106,0.275912538793765,0.0531347669212236,6
2022-06-25,699956.180744,9790.28016092491,0.268448469416702,0.00466033073327626,6
2022-06-26,674863.270744,9588.0671427179,0.269028346265961,0.00124258300578128,6
2022-06-27,671890.630744,9450.06065003582,0.267661329422912,0.00216663966199204,6
2022-06-28,644607.650744,9245.14092923172,0.268537733519907,0.00199277404087253,6
2022-06-29,619925.730744,9182.01119736121,0.261614415732098,0.00832767888789487,6
2022-06-30,603486.130744,9103.28654717746,0.261708885657893,0.00422070824042343,6
2022-07-01,597135.490744,8794.41407070925,0.255858723866653,0.0110350221436387,6
