date,account_value,daily_volatility,fear_greed,fear_greed_norm,window
2024-05-31,1013897.45515,30839.091270663,73,0.46,17
2024-06-01,1027894.85515,30932.1731613071,72,0.44,17
2024-06-02,1029601.85515,30938.9657984364,73,0.46,17
2024-06-03,1069716.35515,31427.9147905721,73,0.46,17
2024-06-04,1170941.45515,32217.4177988184,73,0.46,17
2024-06-05,1193303.15515,32470.4557097271,75,0.5,17
2024-06-06,1214469.95515,32333.338047847,78,0.56,17
2024-06-07,1168039.55515,31689.9207723507,77,0.54,17
2024-06-08,1165820.45515,31668.2699006901,72,0.44,17
2024-06-09,1149262.55515,31824.3172708599,75,0.5,17
2024-06-10,1067497.25515,31793.8881533944,72,0.44,17
2024-06-11,1028919.05515,30788.587886684,74,0.48,17
2024-06-12,1057767.35515,31217.9243088243,72,0.44,17
2024-06-13,1024310.15515,30540.4565288154,70,0.4,17
2024-06-14,1030284.65515,30193.4453658078,74,0.48,17
2024-06-15,1038648.95515,30259.9294126631,74,0.48,17
2024-06-16,1043087.15515,30458.3872093068,71,0.42,17
2024-06-17,1031991.65515,30403.5217333332,71,0.42,17
2024-06-18,1005191.75515,29787.6091107262,74,0.48,17
2024-06-19,1023456.65515,29673.3711567732,64,0.28,17
2024-06-20,1003655.45515,29637.5157538485,60,0.2,17
2024-06-21,1000924.25515,29294.5721013584,63,0.26,17
2024-06-22,1009459.25515,29354.0838087086,53,0.06,17
2024-06-23,986244.05515,28878.3901677711,55,0.1,17
2024-06-24,970198.25515,27521.874514651,51,0.02,17
2024-06-25,987438.95515,28222.5976752085,30,-0.4,17
2024-06-26,978562.55515,27785.8149585483,46,-0.08,17
2024-06-27,993413.45515,28162.6865197776,40,-0.2,17
2024-06-28,969003.35515,27579.4262568076,47,-0.06,17
2024-06-29,973441.55515,27842.2788374419,30,-0.4,17
2024-06-30,994266.95515,28667.1215684453,47,-0.06,17
2024-07-01,985219.85515,28727.8538528612,53,0.06,17
2024-06-03,1000000,0,-1,-1,18
2024-06-04,1094542.82656,32217.4177988184,73,0.46,18
2024-06-05,1115450.42656,32470.4557097271,75,0.5,18
2024-06-06,1135240.82656,32333.338047847,78,0.56,18
2024-06-07,1091829.62656,31689.9207723507,77,0.54,18
2024-06-08,1089754.82656,31668.2699006901,72,0.44,18
2024-06-09,1074273.62656,31824.3172708599,75,0.5,18
2024-06-10,997825.22656,31793.8881533944,72,0.44,18
2024-06-11,961755.62656,30788.587886684,74,0.48,18
2024-06-12,988728.02656,31217.9243088243,72,0.44,18
2024-06-13,957446.42656,30540.4565288154,70,0.4,18
2024-06-14,963032.42656,30193.4453658078,74,0.48,18
2024-06-15,970852.82656,30259.9294126631,74,0.48,18
2024-06-16,975002.42656,30458.3872093068,71,0.42,18
2024-06-17,964628.42656,30403.5217333332,71,0.42,18
2024-06-18,939571.22656,29787.6091107262,74,0.48,18
2024-06-19,956648.42656,29673.3711567732,64,0.28,18
2024-06-20,938134.82656,29637.5157538485,60,0.2,18
2024-06-21,935581.22656,29294.5721013584,63,0.26,18
2024-06-22,943561.22656,29354.0838087086,53,0.06,18
2024-06-23,921855.62656,28878.3901677711,55,0.1,18
2024-06-24,906853.22656,27521.874514651,51,0.02,18
2024-06-25,922972.82656,28222.5976752085,30,-0.4,18
2024-06-26,914673.62656,27785.8149585483,46,-0.08,18
2024-06-27,928558.82656,28162.6865197776,40,-0.2,18
2024-06-28,905736.02656,27579.4262568076,47,-0.06,18
2024-06-29,909885.62656,27842.2788374419,30,-0.4,18
2024-06-30,929356.82656,28667.1215684453,47,-0.06,18
2024-07-01,920898.02656,28727.8538528612,53,0.06,18
2024-07-02,926005.22656,28371.5118556425,51,0.02,18
2024-07-03,888658.82656,27497.370894592,50,0,18
2024-07-04,819871.22656,26072.1261435234,44,-0.12,18
2024-07-05,794494.82656,25894.8120071582,29,-0.42,18
2024-07-06,839661.62656,26623.3233233898,26,-0.48,18
2024-07-07,783322.82656,25544.5561728656,29,-0.42,18
2024-07-08,815083.22656,25923.8254167872,28,-0.44,18
2024-07-09,825138.02656,26540.8021269872,27,-0.46,18
2024-07-10,837586.82656,26378.6064741971,28,-0.44,18
2024-07-11,837746.42656,26197.1079955262,29,-0.42,18
2024-07-12,852110.42656,26446.0141322422,25,-0.5,18
2024-07-13,849876.02656,27056.5131064867,25,-0.5,18
2024-07-14,869666.42656,27789.0006572532,33,-0.34,18
2024-07-15,934304.42656,29575.9271156575,52,0.04,18
2024-07-16,919780.82656,29737.4879795194,65,0.3,18
2024-07-17,908130.02656,29301.5374657944,69,0.38,18
2024-07-18,912918.02656,29244.9918337725,61,0.22,18
2024-07-19,947232.02656,30481.331618327,60,0.2,18
2024-07-20,946753.22656,30704.4226052049,74,0.48,18
2024-07-21,961755.62656,31181.0202799687,74,0.48,18
2024-07-22,937336.82656,30907.7135128005,70,0.4,18
2024-07-23,928878.02656,30147.807907254,71,0.42,18
2024-07-24,917706.02656,29918.0182804688,69,0.38,18
2024-07-25,910843.22656,30154.1921611385,68,0.36,18
2024-07-26,927282.02656,31122.8157317578,68,0.36,18
2024-07-27,928399.22656,31122.8904709811,72,0.44,18
2024-07-28,932070.02656,31284.1188916222,71,0.42,18
2024-07-29,916748.42656,30585.7731362195,74,0.48,18
2024-07-30,938932.82656,30309.6815374673,67,0.34,18
2024-07-31,920259.62656,29587.9634191848,61,0.22,18
2024-08-01,918025.22656,29936.8149490459,52,0.04,18
2024-08-02,866634.02656,28175.6813036967,57,0.14,18
2024-08-03,845407.22656,27820.9715323534,37,-0.26,18
2024-08-04,793218.02656,26681.4647274445,34,-0.32,18
2024-08-05,741028.82656,24797.8478163654,26,-0.48,18
2024-08-06,773906.42656,25727.2765054424,17,-0.66,18
2024-08-07,758265.62656,25337.8069282406,29,-0.42,18
2024-08-08,825457.22656,28338.693401175,20,-0.6,18
2024-08-09,812050.82656,27959.8864401894,48,-0.04,18
2024-08-10,835033.22656,27994.1246307319,40,-0.2,18
2024-08-11,803592.02656,26969.432609202,39,-0.22,18
